Years,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Average inflation rate (%),0.0145798,0.010707241,0.011987733,0.012396694,0.012789116,0.015851693,0.030150754,0.027727856,0.042717962,0.054623862,0.058382553,0.042927667,0.032722782,0.061777601,0.110548048,0.091431469,0.057448126,0.06501684,0.076309638,0.112544711,0.13549202,0.103347153,0.06131427,0.032124352,0.043005355,0.035456442,0.018980477,0.036645632,0.040777411,0.04827003,0.053979564,0.04234964,0.030288197,0.02951657,0.026074416,0.028054197,0.029312042,0.023376899,0.015522791,0.021880272,0.033768573,0.028261711,0.015860316,0.02270095,0.026772367,0.033927468,0.032259441,0.028526725,0.038391003,-0.003555463,0.016400434,0.031568416,0.020693373,0.014648327,0.01622223,0.001186271,0.012615832,0.0213011,0.024425833,0.018122101,0.012335844,0.046978589,0.080027998
Consumer price index based on all items in the US,12.47800791,12.61161295,12.76279761,12.9210141,13.08626245,13.29370186,13.69451699,14.07423659,14.67545928,15.47708955,16.38068155,17.083866,17.64289763,18.73283351,20.80371169,22.7058256,24.01023274,25.5713022,27.52263902,30.62016649,34.76895469,38.36222718,40.71437914,42.0223022,43.82948621,45.38352383,46.24492477,47.93959927,49.89445202,52.30285873,55.12614426,57.4607166,59.20109809,60.94851143,62.53770827,64.29215345,66.17668775,67.72369352,68.77495426,70.27976896,72.65301645,74.70631502,75.8911808,77.61398268,79.69189271,82.39563688,85.05367407,87.47997682,90.83842087,90.51544826,91.99994093,94.90423331,96.86812198,98.28707786,99.88151342,100,101.2615832,103.4185663,105.9446509,107.8645906,109.1951913,,
USD per 1 Euro (Items),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.011,0.8983,0.8912,1.0194,1.2298,1.3406,1.1861,1.3205,1.4559,1.3511,1.4579,1.3221,1.3155,1.3119,1.3708,1.2329,1.0889,1.0545,1.1836,1.138,1.1114,1.2168,,
Annual percent change in real GDP (%),0.026,0.026,0.061,0.044,0.058,0.065,0.066,0.027,0.049,0.031,0.002,0.033,0.053,0.056,-0.005,-0.002,0.054,0.046,0.055,0.032,-0.003,0.025,-0.018,0.046,0.072,0.042,0.035,0.035,0.042,0.037,0.019,-0.001,0.035,0.028,0.04,0.027,0.038,0.044,0.045,0.048,0.041,0.01,0.017,0.028,0.039,0.035,0.028,0.02,0.001,-0.026,0.027,0.015,0.023,0.018,0.023,0.027,0.017,0.023,0.029,0.023,-0.034,0.057,
Stock index: VIX (Items),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.38,19.31,12.57,11.66,13.2,12.52,20.92,24.01,24.42,24.64,26.85,23.8,28.62,18.31,13.29,12.07,11.56,22.5,40,21.68,17.75,23.4,18.02,13.72,19.2,18.21,14.04,11.04,25.42,13.78,22.75,17.22,
Net change in businesses (Items),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,124000,85000,120000,82000,133000,99000,55000,27000,76000,92000,94000,166000,85000,22000,-147000,-115000,31000,119000,95000,92000,101000,136000,106000,90000,117000,53000,190000,
